user,failed_logins,docs_accessed,session_duration_min,day_of_week,download_mb,own_section,role,entity_type,is_anomaly
user_8@scp.local,0,8,87.4,3,44.07,0.86,2,2,0
user_9@scp.local,0,5,94.5,1,33.44,0.96,1,2,0
user_19@scp.local,0,1,232.4,6,15.18,0.99,3,1,1
user_47@scp.local,0,3,107.1,3,15.36,0.94,4,1,0
user_21@scp.local,0,2,91.8,1,45.26,0.9,3,1,0
user_3@scp.local,0,4,101.5,3,28.7,0.87,5,2,0
user_30@scp.local,0,5,102.6,4,14.47,0.97,3,1,0
user_48@scp.local,0,10,27.3,2,8.66,0.8,5,1,0
user_20@scp.local,0,1,62.6,0,15.25,0.91,5,1,0
user_14@scp.local,0,46,49.5,3,3.16,0.2,4,2,1
user_45@scp.local,0,2,100.8,2,20.49,0.99,2,2,0
user_47@scp.local,0,2,99.6,3,1.8,0.82,1,1,0
user_33@scp.local,0,0,65.0,0,22.72,0.88,2,2,0
user_3@scp.local,0,7,87.2,2,37.73,0.96,3,1,0
user_21@scp.local,0,1,64.4,1,24.96,0.99,5,1,0
user_15@scp.local,0,4,77.4,4,11.25,0.9,1,2,0
user_43@scp.local,0,4,38.7,1,30.08,1.0,5,2,0
user_33@scp.local,0,3,94.4,4,7.54,0.89,5,1,0
user_42@scp.local,0,9,65.6,2,42.57,0.98,5,2,0
user_31@scp.local,0,4,8.1,0,33.33,0.97,1,2,0
user_28@scp.local,0,8,6.0,4,13.78,0.85,4,2,0
user_20@scp.local,0,6,25.3,2,32.85,0.83,2,2,0
user_32@scp.local,0,2,10.9,1,9.11,1.0,4,1,0
user_18@scp.local,0,4,24.8,4,7.92,0.82,5,2,0
user_24@scp.local,23,8,47.3,4,42.87,0.83,5,2,1
user_38@scp.local,0,7,55.8,0,4.92,0.84,1,1,0
user_3@scp.local,0,2,97.2,4,16.9,0.9,2,2,0
user_17@scp.local,0,3,36.5,4,40.69,0.92,1,1,0
user_13@scp.local,0,2,31.3,4,22.63,0.83,4,2,0
user_37@scp.local,0,4,12.3,0,4.4,0.89,1,2,0
user_6@scp.local,0,1,38.4,0,22.18,0.98,2,2,0
user_18@scp.local,0,7,114.1,4,38.28,0.92,1,2,0
user_16@scp.local,0,8,39.7,2,45.75,0.97,2,2,0
user_7@scp.local,0,9,61.6,1,2.69,0.82,3,2,0
user_44@scp.local,0,19,23.1,1,29.14,0.11,4,1,1
user_5@scp.local,0,0,66.9,2,18.64,0.96,3,2,0
user_46@scp.local,0,10,34.9,2,0.74,0.91,1,1,0
user_47@scp.local,0,6,77.5,2,12.7,0.83,1,1,0
user_50@scp.local,0,0,28.6,1,46.39,0.97,3,1,0
user_28@scp.local,0,1,74.2,0,9.15,0.94,3,1,0
user_33@scp.local,0,5,12.3,4,22.27,0.85,4,2,0
user_28@scp.local,0,5,114.1,0,14.59,0.85,4,2,0
user_39@scp.local,0,0,88.0,4,45.2,0.92,4,1,0
user_16@scp.local,0,4,72.6,1,26.29,0.83,5,1,0
user_31@scp.local,0,1,65.5,2,22.82,0.99,1,2,0
user_29@scp.local,0,1,52.1,1,41.18,0.83,1,1,0
user_5@scp.local,0,7,83.9,2,38.88,0.96,5,1,0
user_8@scp.local,0,2,59.9,1,11.45,0.81,4,2,0
user_45@scp.local,0,1,93.0,2,12.77,0.95,5,1,0
user_36@scp.local,0,2,48.9,3,12.42,0.92,5,1,0
user_33@scp.local,0,5,53.7,3,17.05,0.84,4,2,0
user_37@scp.local,0,7,77.8,3,24.79,0.9,1,1,0
user_43@scp.local,0,198,19.3,0,24.74,0.82,5,1,1
user_13@scp.local,0,0,53.4,4,42.11,0.97,5,2,0
user_6@scp.local,0,3,9.1,4,25.64,0.85,1,2,0
user_12@scp.local,0,3,32.6,1,17.97,0.97,2,2,0
user_37@scp.local,0,5,50.9,2,37.49,0.92,2,2,0
user_36@scp.local,0,4,113.2,1,1.26,0.96,3,2,0
user_4@scp.local,0,6,20.5,0,2.42,0.91,4,2,0
user_30@scp.local,0,2,83.1,1,1.9,1.0,3,1,0
user_24@scp.local,0,10,95.1,1,37.09,0.83,3,2,0
user_4@scp.local,0,4,16.0,1,11.03,0.88,4,2,0
user_42@scp.local,0,1,47.6,1,17.18,0.87,4,1,0
user_23@scp.local,0,6,62.0,3,38.3,0.94,3,2,0
user_18@scp.local,0,6,91.8,2,45.56,0.92,2,1,0
user_46@scp.local,0,3,110.8,4,16.29,0.87,2,1,0
user_8@scp.local,0,6,62.6,4,6.77,0.97,3,2,0
user_42@scp.local,0,5,88.4,4,44.82,0.81,5,2,0
user_45@scp.local,0,6,24.7,4,10.46,0.99,4,1,0
user_19@scp.local,0,4,96.6,4,2.8,0.82,5,2,0
user_28@scp.local,0,3,101.7,0,8.49,0.84,1,2,0
user_25@scp.local,0,7,110.2,3,1.62,0.88,5,2,0
user_41@scp.local,0,9,100.5,2,39.06,0.87,1,2,0
user_1@scp.local,0,10,78.6,2,12.9,0.91,3,2,0
user_49@scp.local,0,40,80.6,0,37.77,0.15,4,2,1
user_21@scp.local,6,3,23.9,3,14.18,0.89,4,1,1
user_12@scp.local,0,10,44.6,4,42.37,0.96,4,1,0
user_25@scp.local,0,2,14.9,1,9.89,0.91,1,1,0
user_19@scp.local,0,3,35.5,0,31.26,0.83,4,2,0
user_38@scp.local,0,10,99.4,0,8.43,0.97,3,2,0
user_7@scp.local,0,0,90.0,0,33.34,0.92,4,1,0
user_40@scp.local,0,2,89.1,1,21.65,0.93,2,2,0
user_32@scp.local,0,4,100.7,0,1.85,0.82,3,2,0
user_38@scp.local,0,0,29.9,3,41.67,0.83,4,2,0
user_21@scp.local,0,147,22.7,2,22.52,0.9,2,2,1
user_49@scp.local,0,1,14.4,1,16.25,0.81,4,2,0
user_41@scp.local,0,6,69.1,0,8.75,0.83,4,2,0
user_8@scp.local,0,5,30.0,4,3.35,0.93,2,2,0
user_19@scp.local,8,0,91.7,2,30.91,0.91,3,2,1
user_1@scp.local,0,7,36.2,1,8.74,0.84,4,1,0
user_28@scp.local,0,10,107.5,0,31.53,0.84,1,2,0
user_21@scp.local,0,9,107.9,2,3.82,0.96,3,1,0
user_16@scp.local,0,5,117.6,0,45.69,0.99,2,2,0
user_33@scp.local,0,2,11.1,0,0.27,0.94,3,1,0
user_28@scp.local,0,5,61.8,0,5.17,0.94,5,1,0
user_1@scp.local,0,3,109.7,2,4.93,0.87,2,2,0
user_49@scp.local,0,0,72.0,4,15.76,0.89,1,2,0
user_12@scp.local,0,10,81.1,1,22.68,0.89,5,2,0
user_40@scp.local,0,7,34.0,3,36.43,0.93,3,2,0
user_38@scp.local,0,8,34.7,1,49.93,0.98,4,2,0
user_14@scp.local,0,8,19.8,2,7.29,0.98,2,2,0
user_40@scp.local,0,7,13.8,1,18.81,0.88,1,2,0
user_41@scp.local,0,9,86.2,3,10.39,0.81,5,2,0
user_26@scp.local,0,7,5.6,2,45.39,0.91,2,2,0
user_46@scp.local,0,9,105.2,1,8.36,0.98,4,2,0
user_37@scp.local,0,4,105.1,0,22.56,0.98,3,2,0
user_44@scp.local,0,0,20.7,1,3.13,0.93,1,1,0
user_24@scp.local,0,7,58.5,3,3.77,0.98,1,2,0
user_13@scp.local,0,3,16.2,2,29.3,0.93,3,1,0
user_35@scp.local,0,10,114.4,2,7.12,0.93,3,1,0
user_42@scp.local,0,3,22.3,3,37.89,0.83,2,2,0
user_50@scp.local,0,1,70.7,0,25.54,0.84,5,1,0
user_48@scp.local,0,1,51.5,1,5.5,0.81,4,1,0
user_30@scp.local,0,8,37.5,2,18.01,0.94,3,1,0
user_18@scp.local,0,7,30.2,3,32.54,0.86,5,2,0
user_21@scp.local,0,0,36.0,3,44.59,0.96,2,2,0
user_30@scp.local,0,10,16.2,2,30.95,0.84,1,1,0
user_22@scp.local,0,10,69.9,2,41.5,0.86,2,2,0
user_20@scp.local,0,5,39.3,1,38.28,0.86,4,1,0
user_14@scp.local,0,6,80.7,2,34.13,0.82,5,2,0
user_15@scp.local,0,5,62.4,1,5.96,0.94,1,1,0
user_27@scp.local,0,9,15.2,0,40.68,0.92,4,1,0
user_18@scp.local,0,1,78.3,2,49.1,0.81,3,1,0
user_20@scp.local,0,10,15.8,2,10.76,0.82,3,1,0
user_15@scp.local,0,9,58.3,1,27.55,0.89,5,1,0
user_6@scp.local,0,3,89.9,0,44.54,0.92,1,1,0
user_37@scp.local,0,10,41.2,0,2.63,0.91,2,1,0
user_14@scp.local,0,2,7.3,3,26.4,0.81,1,2,0
user_41@scp.local,0,9,33.0,3,11.99,0.82,5,2,0
user_15@scp.local,0,6,109.3,2,28.38,0.81,3,2,0
user_15@scp.local,0,2,23.5,0,24.29,0.93,2,1,0
user_20@scp.local,0,5,103.0,1,14.76,0.89,4,2,0
user_2@scp.local,0,6,34.5,2,5.67,0.9,3,2,0
user_1@scp.local,0,44,21.7,2,19.93,0.09,3,1,1
user_22@scp.local,0,2,35.6,3,49.68,0.93,3,1,0
user_22@scp.local,0,7,39.4,2,1.18,0.88,5,2,0
user_34@scp.local,0,9,15.2,2,42.46,0.86,5,1,0
user_42@scp.local,0,45,75.1,2,1155.5,0.81,5,2,1
user_39@scp.local,0,10,67.5,1,48.54,0.92,4,2,0
user_32@scp.local,0,1,22.2,1,49.46,0.89,3,1,0
user_35@scp.local,0,1,64.3,2,15.16,0.83,4,1,0
user_3@scp.local,0,0,27.7,0,12.98,0.87,5,1,0
user_14@scp.local,0,9,119.0,1,6.25,0.88,3,2,0
user_27@scp.local,0,4,93.7,3,18.89,0.93,3,2,0
user_23@scp.local,0,3,103.5,1,21.95,0.89,2,2,0
user_28@scp.local,0,0,46.3,4,23.49,0.93,2,2,0
user_27@scp.local,0,10,73.7,0,24.88,0.84,4,1,0
user_23@scp.local,0,0,97.2,4,44.94,0.87,1,2,0
user_38@scp.local,0,0,12.4,0,1.24,0.93,5,1,0
user_50@scp.local,0,6,64.5,3,41.47,0.85,1,2,0
user_46@scp.local,0,2,106.2,3,14.87,1.0,1,1,0
user_43@scp.local,0,3,35.7,1,4.92,0.9,1,1,0
user_32@scp.local,0,8,52.5,0,45.84,0.82,3,1,0
user_37@scp.local,0,4,90.3,1,2.15,0.89,4,2,0
user_14@scp.local,0,7,61.7,2,23.17,0.97,1,1,0
user_23@scp.local,0,3,52.4,2,31.69,0.85,5,1,0
user_17@scp.local,0,10,69.9,2,33.04,0.85,5,2,0
user_18@scp.local,0,2,84.8,2,29.33,0.95,5,1,0
user_48@scp.local,0,6,36.4,3,2.05,0.82,1,1,0
user_17@scp.local,0,86,11.7,2,24.23,0.88,5,1,1
user_19@scp.local,0,5,75.3,3,43.16,0.88,4,2,0
user_11@scp.local,0,0,52.6,1,42.68,0.98,1,1,0
user_3@scp.local,0,5,60.1,3,12.3,0.81,4,1,0
user_34@scp.local,0,9,40.8,1,26.51,0.96,2,2,0
user_45@scp.local,0,6,25.2,2,48.62,0.91,1,2,0
user_32@scp.local,0,4,6.3,4,26.49,0.97,1,2,0
user_9@scp.local,0,6,84.0,0,21.27,0.82,5,1,0
user_20@scp.local,0,4,61.9,0,22.51,0.94,2,2,0
user_27@scp.local,0,6,87.5,4,47.74,0.98,4,2,0
user_11@scp.local,0,6,111.0,0,45.75,0.8,1,1,0
user_10@scp.local,0,0,110.2,4,14.19,0.87,5,2,0
user_41@scp.local,0,2,18.6,2,18.09,0.94,3,2,0
user_14@scp.local,0,10,64.9,4,5.63,0.83,3,1,0
user_40@scp.local,0,4,95.7,2,44.29,1.0,3,2,0
user_18@scp.local,0,0,86.9,1,47.43,0.98,3,2,0
user_45@scp.local,0,5,76.3,2,14.66,0.94,4,1,0
user_7@scp.local,0,9,8.5,3,8.02,0.88,4,2,0
user_29@scp.local,0,4,57.5,0,1.04,0.92,4,1,0
user_2@scp.local,0,4,30.7,3,43.85,0.93,5,1,0
user_9@scp.local,0,10,17.5,1,22.67,0.99,5,1,0
user_25@scp.local,0,4,64.0,1,7.86,0.82,2,1,0
user_36@scp.local,0,9,82.8,3,10.7,0.89,4,1,0
user_13@scp.local,0,6,74.0,4,28.68,0.94,3,2,0
user_28@scp.local,0,6,34.2,4,29.4,0.88,5,1,0
user_50@scp.local,0,4,101.4,0,23.85,0.81,2,2,0
user_5@scp.local,0,9,98.0,2,32.45,1.0,3,2,0
user_6@scp.local,0,10,88.4,2,38.09,0.92,4,1,0
user_32@scp.local,0,4,66.6,1,43.37,0.99,1,2,0
user_40@scp.local,0,10,28.1,0,31.17,0.86,2,1,0
user_14@scp.local,0,10,69.4,1,23.26,0.88,2,2,0
user_22@scp.local,0,6,63.5,1,47.01,1.0,1,1,0
user_16@scp.local,0,5,64.6,2,42.2,0.94,4,2,0
user_17@scp.local,0,9,62.9,3,38.0,0.89,2,2,0
user_44@scp.local,0,8,28.2,1,39.77,0.83,3,1,0
user_38@scp.local,0,5,118.0,1,6.07,0.97,3,1,0
user_43@scp.local,0,8,72.2,1,45.29,0.94,2,2,0
user_42@scp.local,0,8,43.0,2,7.39,0.9,5,2,0
user_20@scp.local,0,6,117.1,4,27.08,0.97,4,2,0
user_10@scp.local,0,2,23.2,4,5.72,0.89,2,2,0
user_40@scp.local,0,5,19.1,2,32.35,0.88,5,1,0
user_46@scp.local,0,47,99.9,4,19.47,0.13,5,2,1
user_10@scp.local,0,4,68.0,1,39.51,0.91,1,1,0
user_39@scp.local,0,3,12.4,0,36.69,1.0,2,1,0
user_35@scp.local,0,1,96.0,1,30.89,0.88,3,1,0
user_21@scp.local,0,10,51.2,0,15.42,0.91,3,2,0
user_20@scp.local,0,6,95.5,2,12.93,0.84,1,1,0
user_48@scp.local,0,5,33.0,1,37.77,1.0,4,2,0
user_40@scp.local,0,9,90.3,2,35.02,0.85,3,2,0
user_28@scp.local,0,3,38.8,4,41.14,0.93,5,2,0
user_26@scp.local,0,9,12.9,0,28.21,0.89,3,2,0
user_10@scp.local,0,7,34.2,1,11.15,0.87,5,2,0
user_33@scp.local,14,1,81.5,1,20.97,1.0,4,1,1
user_46@scp.local,0,10,92.3,2,26.54,0.85,4,2,0
user_20@scp.local,0,5,17.1,0,30.97,0.99,2,2,0
user_17@scp.local,0,3,110.0,0,5.79,0.87,5,1,0
user_48@scp.local,0,8,27.3,4,34.59,0.96,1,1,0
user_43@scp.local,0,4,75.3,3,6.58,0.82,3,2,0
user_34@scp.local,19,2,108.2,3,41.83,0.82,1,2,1
user_12@scp.local,0,10,39.1,2,25.54,0.9,1,1,0
user_12@scp.local,0,0,78.4,4,46.91,0.83,1,2,0
user_16@scp.local,0,9,22.8,2,29.74,0.84,2,2,0
user_41@scp.local,0,2,37.4,4,5.97,0.88,3,1,0
user_47@scp.local,0,5,37.6,3,9.74,0.8,4,1,0
user_28@scp.local,0,0,46.2,3,26.22,0.86,5,2,0
user_27@scp.local,0,1,32.2,2,30.11,0.81,5,2,0
user_13@scp.local,0,9,92.1,1,20.47,0.89,1,2,0
user_34@scp.local,0,6,74.3,0,15.92,0.94,1,2,0
user_21@scp.local,0,6,89.7,2,8.2,0.89,1,2,0
user_12@scp.local,0,1,75.3,0,2.93,1.0,2,2,0
user_11@scp.local,0,5,48.2,3,45.86,0.89,1,2,0
user_18@scp.local,0,9,26.4,3,39.11,0.98,5,2,0
user_36@scp.local,0,9,40.7,0,3.6,0.98,1,1,0
user_14@scp.local,0,10,89.3,0,30.94,0.83,2,1,0
user_6@scp.local,0,5,92.9,4,26.27,0.99,3,2,0
user_27@scp.local,0,8,58.7,1,47.63,0.88,3,2,0
user_13@scp.local,0,6,91.6,4,36.18,0.94,4,2,0
user_18@scp.local,0,102,18.5,1,7.18,0.87,2,1,1
user_28@scp.local,0,10,34.9,4,27.08,0.96,5,2,0
user_27@scp.local,0,7,20.0,3,18.8,0.97,1,2,0
user_26@scp.local,0,0,101.3,4,4.07,1.0,3,1,0
user_38@scp.local,0,7,72.1,2,46.45,0.85,3,1,0
user_50@scp.local,0,5,89.4,0,38.3,0.8,1,2,0
user_27@scp.local,0,0,6.1,2,6.88,0.83,3,1,0
user_24@scp.local,0,7,30.6,1,5.88,0.88,5,2,0
user_19@scp.local,0,3,92.6,1,49.29,0.89,1,2,0
user_43@scp.local,0,8,71.6,3,28.79,0.87,2,1,0
user_14@scp.local,0,8,5.3,3,29.01,0.96,2,2,0
user_37@scp.local,0,8,23.2,4,35.91,0.94,3,1,0
user_23@scp.local,0,10,77.7,2,43.15,0.86,4,2,0
user_29@scp.local,0,10,42.7,2,25.83,0.88,1,1,0
user_33@scp.local,0,6,69.4,2,48.04,0.86,5,1,0
user_36@scp.local,0,8,86.1,1,14.82,0.89,2,1,0
user_30@scp.local,0,6,50.8,2,39.55,0.87,5,2,0
user_35@scp.local,0,9,105.4,4,15.94,0.93,5,2,0
user_6@scp.local,0,2,32.2,4,27.26,0.92,5,2,0
user_1@scp.local,0,10,109.5,2,22.87,0.82,4,1,0
user_4@scp.local,0,3,12.2,2,24.3,0.91,1,1,0
user_22@scp.local,0,8,13.8,4,45.64,0.98,4,2,0
user_3@scp.local,0,2,33.2,2,26.11,0.8,1,2,0
user_36@scp.local,0,10,107.2,4,43.27,0.95,2,2,0
user_43@scp.local,0,2,66.8,0,10.85,0.81,3,1,0
user_44@scp.local,0,8,58.9,0,35.95,0.92,5,2,0
user_16@scp.local,13,8,26.8,1,15.0,0.92,3,1,1
user_22@scp.local,0,3,111.6,3,49.58,0.9,1,2,0
user_13@scp.local,0,4,15.0,3,32.54,1.0,4,2,0
user_37@scp.local,0,7,35.4,2,32.43,0.87,1,2,0
user_32@scp.local,0,8,73.2,2,39.55,0.92,1,1,0
user_21@scp.local,0,6,76.9,3,0.49,0.97,1,1,0
user_28@scp.local,0,7,93.7,2,44.65,0.95,4,1,0
user_40@scp.local,0,8,33.0,4,31.53,0.9,5,2,0
user_22@scp.local,0,9,88.5,1,17.89,0.92,4,1,0
user_38@scp.local,0,1,63.9,0,26.35,0.85,3,1,0
user_48@scp.local,0,8,44.7,0,20.51,0.84,1,2,0
user_42@scp.local,0,6,67.9,2,33.92,0.84,5,1,0
user_16@scp.local,0,2,5.1,4,9.53,0.96,5,2,0
user_18@scp.local,0,88,14.6,2,1606.64,0.94,3,1,1
user_46@scp.local,0,1,24.5,4,19.17,0.9,5,2,0
user_9@scp.local,0,2,18.5,3,3.12,0.85,1,2,0
user_26@scp.local,0,7,46.3,2,43.95,0.89,5,2,0
user_1@scp.local,0,10,400.0,6,4.14,0.99,2,2,1
user_33@scp.local,0,4,95.9,4,17.64,0.84,5,2,0
user_30@scp.local,0,5,108.6,4,12.48,0.97,1,2,0
user_50@scp.local,0,4,53.4,0,23.21,0.95,5,1,0
user_17@scp.local,0,5,39.6,3,13.32,0.9,3,1,0
user_30@scp.local,0,10,373.3,5,18.25,0.99,5,1,1
user_37@scp.local,0,4,82.1,1,18.09,0.85,4,1,0
user_22@scp.local,0,9,49.5,0,28.93,0.83,5,2,0
user_32@scp.local,0,10,73.4,0,19.39,0.92,1,1,0
user_39@scp.local,0,0,23.9,2,26.55,0.9,4,2,0
user_40@scp.local,0,4,57.0,3,23.36,0.87,2,1,0
user_11@scp.local,0,3,74.1,1,41.65,0.92,4,2,0
user_31@scp.local,0,6,81.4,0,4.78,0.96,4,1,0
user_1@scp.local,0,174,12.5,0,39.02,0.81,3,1,1
user_3@scp.local,0,10,74.3,3,23.91,0.94,2,1,0
user_43@scp.local,0,7,12.6,1,24.86,0.88,4,2,0
user_45@scp.local,0,9,115.0,4,24.72,0.89,4,2,0
user_27@scp.local,0,2,33.1,0,26.53,0.94,3,1,0
user_28@scp.local,0,10,119.6,0,34.07,0.92,1,1,0
user_12@scp.local,0,1,56.2,4,38.51,0.92,2,1,0
user_27@scp.local,0,81,16.0,0,1332.73,0.81,3,2,1
user_42@scp.local,0,3,9.6,1,0.98,0.84,5,2,0
user_35@scp.local,0,4,25.4,2,2.86,0.95,1,1,0
user_12@scp.local,0,1,86.7,0,46.38,0.96,5,1,0
user_1@scp.local,0,10,50.3,4,14.33,0.81,4,2,0
user_43@scp.local,0,6,107.6,1,3.76,0.85,5,2,0
user_50@scp.local,0,9,18.0,0,23.85,0.96,5,2,0
user_49@scp.local,0,7,57.9,3,47.45,0.95,5,2,0
user_30@scp.local,0,4,56.3,1,39.92,0.81,2,2,0
user_24@scp.local,0,132,11.0,4,24.06,0.86,1,2,1
user_7@scp.local,0,0,11.8,2,27.23,0.95,3,1,0
user_40@scp.local,0,1,471.3,5,19.85,0.87,5,1,1
user_12@scp.local,0,1,50.8,2,17.82,0.96,3,2,0
user_30@scp.local,0,1,17.3,3,24.54,0.89,5,2,0
user_41@scp.local,0,105,27.2,1,20.81,0.86,4,2,1
user_15@scp.local,0,5,100.1,1,47.95,0.82,5,1,0
user_37@scp.local,0,4,39.3,0,17.31,0.93,1,2,0
user_13@scp.local,0,1,12.0,1,8.36,0.91,4,1,0
user_31@scp.local,0,0,5.8,3,32.42,0.91,4,2,0
user_18@scp.local,0,2,51.4,0,36.05,0.96,4,1,0
user_25@scp.local,0,8,8.8,3,49.54,0.83,5,1,0
user_26@scp.local,0,6,44.2,0,7.54,0.95,2,2,0
user_12@scp.local,0,0,29.3,3,26.93,0.99,4,2,0
user_43@scp.local,0,4,57.1,0,18.25,0.92,2,2,0
user_50@scp.local,0,2,9.2,4,17.73,0.98,1,2,0
user_5@scp.local,0,2,51.6,4,8.41,0.88,5,2,0
user_50@scp.local,0,3,79.1,0,18.23,0.85,4,2,0
user_41@scp.local,0,5,12.4,1,6.22,0.83,4,1,0
user_22@scp.local,0,10,78.6,2,22.58,0.99,4,1,0
user_20@scp.local,0,0,90.4,2,48.64,0.93,2,2,0
user_41@scp.local,0,4,73.8,4,15.81,0.91,1,2,0
user_30@scp.local,0,5,103.2,1,39.79,0.89,5,1,0
user_14@scp.local,0,9,58.7,3,21.31,0.88,2,2,0
user_42@scp.local,0,3,83.5,4,6.47,0.89,5,1,0
user_21@scp.local,0,0,38.0,4,11.51,0.98,5,2,0
user_42@scp.local,0,5,98.4,2,45.53,0.81,5,1,0
user_10@scp.local,0,4,72.0,2,10.95,0.9,2,1,0
user_40@scp.local,0,2,17.9,4,36.96,0.83,5,1,0
user_21@scp.local,0,5,116.6,1,2.39,0.97,1,1,0
user_4@scp.local,0,6,24.4,4,4.31,0.81,4,1,0
user_2@scp.local,0,2,16.2,0,13.38,0.87,5,1,0
user_7@scp.local,0,2,9.6,1,44.2,0.92,5,2,0
user_2@scp.local,0,8,95.0,3,26.52,0.94,5,1,0
user_44@scp.local,0,0,39.4,4,21.98,0.96,5,1,0
user_24@scp.local,0,3,96.7,0,48.73,0.94,5,1,0
user_21@scp.local,0,8,43.1,3,46.61,0.85,2,1,0
user_32@scp.local,0,1,16.2,2,41.93,0.84,4,1,0
user_27@scp.local,0,3,6.4,3,28.54,0.92,1,1,0
user_23@scp.local,0,5,114.1,3,21.92,0.9,4,1,0
user_24@scp.local,0,5,464.2,5,3.46,0.86,2,2,1
user_28@scp.local,0,4,73.2,0,17.95,0.96,4,2,0
user_2@scp.local,0,10,88.3,3,19.19,0.97,2,2,0
user_49@scp.local,0,10,71.1,0,3.53,0.83,5,1,0
user_10@scp.local,0,6,41.9,4,14.3,0.88,2,1,0
user_19@scp.local,0,2,28.0,1,22.63,0.98,5,2,0
user_39@scp.local,0,1,31.0,4,22.89,0.92,4,1,0
user_21@scp.local,0,85,44.5,1,1699.42,0.93,1,1,1
user_10@scp.local,0,2,73.1,4,13.11,0.82,1,1,0
user_46@scp.local,0,1,51.6,0,41.47,0.97,1,1,0
user_31@scp.local,0,5,45.2,3,35.84,0.86,3,2,0
user_4@scp.local,0,5,11.2,0,18.71,0.82,1,1,0
user_31@scp.local,0,5,76.7,1,10.11,0.96,5,2,0
user_27@scp.local,0,10,20.3,0,47.01,0.81,2,2,0
user_30@scp.local,0,10,81.5,1,36.16,0.86,1,2,0
user_15@scp.local,0,2,119.6,0,10.35,0.8,4,2,0
user_28@scp.local,0,9,6.1,4,41.17,0.9,3,1,0
user_27@scp.local,0,5,96.9,3,45.32,0.8,5,1,0
user_30@scp.local,0,5,28.3,1,8.69,0.85,3,2,0
user_6@scp.local,0,32,103.9,2,1890.81,0.95,4,2,1
user_39@scp.local,0,0,18.9,2,37.52,0.82,4,2,0
user_12@scp.local,0,10,112.5,1,4.51,0.92,5,1,0
user_38@scp.local,0,9,27.8,2,2.86,0.84,2,1,0
user_39@scp.local,0,4,56.7,4,26.0,0.98,2,2,0
user_21@scp.local,0,5,24.9,4,5.63,0.84,3,2,0
user_14@scp.local,0,4,48.0,4,0.48,0.89,2,1,0
user_50@scp.local,0,2,34.9,2,39.25,0.82,3,2,0
user_46@scp.local,0,37,100.4,1,1286.63,0.94,1,2,1
user_36@scp.local,0,5,6.2,3,22.86,1.0,2,1,0
user_11@scp.local,0,4,22.4,1,21.39,0.81,3,2,0
user_29@scp.local,0,1,86.0,4,22.91,0.86,3,2,0
user_32@scp.local,0,5,109.4,1,13.13,0.88,4,2,0
user_7@scp.local,0,4,85.8,1,32.26,0.88,5,1,0
user_46@scp.local,0,6,82.0,0,4.82,0.82,2,2,0
user_15@scp.local,0,7,78.1,0,8.31,0.96,2,2,0
user_28@scp.local,0,5,42.1,1,33.4,0.98,3,1,0
user_45@scp.local,0,7,91.9,0,26.5,0.91,1,2,0
user_27@scp.local,0,8,74.2,0,35.61,0.95,1,2,0
user_16@scp.local,0,1,100.8,3,23.76,0.87,3,2,0
user_18@scp.local,0,4,31.8,0,17.68,0.97,2,2,0
user_43@scp.local,0,8,50.1,3,23.61,0.85,2,2,0
user_22@scp.local,0,4,61.0,3,14.92,0.87,5,1,0
user_23@scp.local,0,1,80.2,0,9.13,0.85,2,2,0
user_41@scp.local,0,10,103.8,2,49.76,0.99,5,2,0
user_36@scp.local,0,2,5.2,0,48.73,0.88,5,1,0
user_27@scp.local,0,1,66.2,4,49.88,0.96,3,2,0
user_32@scp.local,0,112,10.0,2,9.51,0.85,4,2,1
user_50@scp.local,0,5,27.2,0,34.18,0.84,1,2,0
user_32@scp.local,0,4,34.2,2,33.94,0.84,2,2,0
user_15@scp.local,0,0,92.4,3,23.58,0.8,1,2,0
user_34@scp.local,0,2,56.9,2,43.53,0.81,2,1,0
user_5@scp.local,0,3,36.3,0,27.12,0.83,2,2,0
user_3@scp.local,0,9,39.8,0,36.18,0.95,3,2,0
user_31@scp.local,0,4,92.9,1,35.84,1.0,5,2,0
user_8@scp.local,0,0,78.6,0,28.85,0.91,2,1,0
user_43@scp.local,0,8,92.9,4,21.1,0.99,4,1,0
user_14@scp.local,0,8,15.6,1,44.15,0.96,3,1,0
user_48@scp.local,0,7,96.7,2,42.06,0.86,4,1,0
user_1@scp.local,0,8,37.9,3,6.82,0.98,4,1,0
user_13@scp.local,0,7,27.9,3,5.83,0.9,3,2,0
user_37@scp.local,0,1,59.8,2,5.12,0.91,1,2,0
user_40@scp.local,0,6,95.0,3,12.59,0.99,1,2,0
user_27@scp.local,0,2,335.3,6,20.48,0.85,5,1,1
user_40@scp.local,0,9,53.8,4,17.97,0.98,4,2,0
user_27@scp.local,0,6,97.5,1,32.33,1.0,2,2,0
user_4@scp.local,0,0,61.2,0,38.58,0.85,5,1,0
user_49@scp.local,0,7,66.0,4,8.09,0.9,2,2,0
user_29@scp.local,0,3,98.0,4,8.45,0.83,2,2,0
user_14@scp.local,0,10,72.8,1,0.73,0.89,1,2,0
user_27@scp.local,15,2,83.7,0,42.76,0.89,2,2,1
user_21@scp.local,0,2,53.5,2,18.22,0.94,4,2,0
user_3@scp.local,25,8,81.2,0,29.51,0.83,3,2,1
user_5@scp.local,0,109,13.8,2,35.56,0.84,3,2,1
user_13@scp.local,0,3,100.0,4,4.03,0.93,4,2,0
